cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,to_play,height_0,height_1,height_2,height_3,height_4,height_5,height_6,label
0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2,1,2,2,0,1,0,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,1,1,2,1,2,3,0,0,0,0,2,6
0,0,0,0,0,2,0,0,0,1,1,2,1,0,0,0,2,1,2,2,1,1,0,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,1,1,2,1,2,3,0,0,0,-1,1,6
0,0,0,0,0,2,2,0,0,1,1,2,1,1,0,0,2,1,2,2,1,1,0,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,1,1,2,1,2,3,0,0,0,-1,-1,3
0,0,2,1,0,2,2,0,0,1,1,2,1,1,0,0,2,1,2,2,1,1,0,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,1,1,2,1,2,3,-1,-1,0,-1,-1,0
0,0,2,1,0,2,2,0,0,1,1,2,1,1,1,0,2,1,2,2,1,1,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,1,1,2,1,1,2,-1,-1,0,-1,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,5,5,4,5,5,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,5,5,5,4,5,3,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,2,0,2,5,4,4,4,5,3,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,2,1,0,2,0,2,4,4,3,4,5,3,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,1,2,1,0,2,0,2,4,4,1,4,5,3,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,1,0,2,1,2,1,0,2,0,2,3,3,1,4,5,3,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,2,1,2,0,1,0,2,1,2,1,0,2,0,2,3,3,1,3,5,2,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,1,0,1,2,1,2,0,1,0,2,1,2,1,0,2,1,2,2,3,1,3,5,2,4,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,0,1,0,1,2,1,2,0,1,2,2,1,2,1,0,2,1,2,2,3,1,3,5,1,3,5
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,2,1,0,1,0,1,2,1,2,0,1,2,2,1,2,1,0,2,1,2,2,3,1,2,5,0,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,5,4,5,4,5,5,5,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,5,4,5,4,4,5,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2,0,1,1,5,4,4,4,3,5,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,2,1,2,0,1,1,5,3,4,4,2,5,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,2,2,2,1,2,0,1,1,4,2,4,4,2,5,4,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,2,1,0,0,2,2,2,1,2,0,1,1,4,2,3,3,2,5,4,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,1,1,2,1,0,0,2,2,2,1,2,0,1,1,3,2,2,3,2,5,4,1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,2,1,1,2,1,0,0,2,2,2,1,2,0,1,1,3,0,2,3,2,5,4,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,2,0,0,2,1,1,2,1,0,0,2,2,2,1,2,0,1,1,1,0,2,3,2,5,4,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,5,5,4,5,5,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,5,5,5,3,4,5,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,1,0,0,2,3,5,5,3,4,5,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,2,1,1,0,0,2,3,5,4,2,4,5,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,2,0,2,1,1,2,0,2,3,5,3,2,4,4,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,2,0,2,1,1,2,1,2,3,5,3,1,4,4,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,1,2,1,0,0,2,0,2,1,1,2,1,2,2,5,3,1,3,4,4,6
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,1,2,1,0,2,2,0,2,1,1,2,1,2,2,5,3,0,3,4,3,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,1,2,1,0,2,2,0,2,1,1,2,1,2,1,5,3,-1,3,4,3,0
1,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,1,2,1,0,2,2,0,2,1,1,2,1,2,-1,5,3,-1,3,4,3,2
1,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,2,0,0,0,2,0,2,1,0,0,0,1,0,1,2,1,1,2,2,0,2,1,1,2,1,2,-1,5,2,-1,3,3,3,2
1,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,2,2,0,0,0,2,0,2,1,0,0,0,1,0,1,2,1,1,2,2,1,2,1,1,2,1,2,-1,4,1,-1,3,3,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,5,5,4,5,5,4,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,2,1,5,5,5,3,5,5,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,2,0,2,1,4,5,5,3,4,5,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,1,0,0,1,2,0,2,1,4,5,5,2,3,5,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,1,2,1,1,2,0,2,1,4,4,4,2,3,5,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,1,1,2,1,1,2,2,2,1,4,4,3,2,3,4,3,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,2,1,1,1,2,1,1,2,2,2,1,4,4,3,2,3,2,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,2,1,2,2,1,1,1,2,1,1,2,2,2,1,4,3,3,1,3,2,3,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,2,0,0,2,1,2,2,1,1,1,2,1,1,2,2,2,1,4,2,3,1,2,2,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,1,2,0,2,2,1,2,2,1,1,1,2,1,1,2,2,2,1,3,1,3,1,2,2,3,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,1,2,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2,1,3,1,3,1,1,2,2,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2,2,0,1,1,2,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2,1,2,0,3,1,1,2,2,3
0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,2,2,0,1,1,2,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2,1,2,0,3,-1,1,2,2,6
0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,2,1,2,2,0,1,1,2,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2,1,2,0,3,-1,1,1,1,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,5,5,4,5,5,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,4,5,4,4,5,5,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,0,2,4,4,4,4,5,4,5,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,2,0,2,4,4,4,4,4,3,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,2,1,1,1,2,2,0,2,3,4,4,3,4,3,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,1,0,2,1,1,1,2,2,0,2,2,4,4,2,4,3,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,1,1,0,2,1,1,1,2,2,0,2,1,4,4,2,3,3,5,3
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,2,0,0,0,1,0,0,2,1,1,0,2,1,1,1,2,2,0,2,1,4,4,0,3,3,5,6
0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,2,0,0,0,1,0,0,2,1,1,0,2,1,1,1,2,2,2,2,0,4,4,0,3,3,4,0
2,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,2,0,0,0,1,1,0,2,1,1,0,2,1,1,1,2,2,2,2,-1,3,4,0,3,3,4,2
2,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,2,0,1,0,1,1,2,2,1,1,0,2,1,1,1,2,2,2,2,-1,3,3,0,3,2,4,6
2,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,2,0,1,0,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,-1,3,3,-1,3,2,3,5
2,0,0,1,0,0,0,1,0,0,1,0,1,0,2,0,0,2,0,2,0,1,0,0,2,0,1,0,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,-1,3,3,-1,3,0,3,4
2,0,0,1,0,0,0,1,0,0,1,0,1,0,2,0,0,2,1,2,0,1,0,0,2,2,1,0,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,-1,3,3,-1,1,0,3,4
2,0,0,1,0,1,0,1,0,0,1,2,1,0,2,0,0,2,1,2,0,1,0,0,2,2,1,0,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,-1,3,3,-1,0,-1,3,4
2,0,0,1,2,1,0,1,0,0,1,2,1,0,2,0,0,2,1,2,0,1,0,1,2,2,1,0,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,-1,3,2,-1,-1,-1,3,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,5,5,4,4,5,5,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,1,5,5,4,3,5,5,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,1,0,2,1,5,5,4,3,3,5,4,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,1,1,1,2,1,5,5,4,3,3,3,4,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,0,2,1,1,1,2,1,4,5,4,3,3,3,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,2,1,2,0,2,1,1,1,2,1,4,5,2,3,3,3,3,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,1,2,2,1,2,0,2,1,1,1,2,1,4,5,2,3,3,3,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,1,1,2,2,1,2,1,2,1,1,1,2,1,4,4,2,2,3,3,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,2,0,0,1,0,2,1,1,2,2,1,2,1,2,1,1,1,2,1,4,3,2,1,3,3,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,2,0,2,1,0,2,1,1,2,2,1,2,1,2,1,1,1,2,1,4,2,2,1,3,2,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,2,2,1,2,1,0,2,1,1,2,2,1,2,1,2,1,1,1,2,1,4,2,2,1,1,2,1,6
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,0,1,2,2,1,2,1,0,2,1,1,2,2,1,2,1,2,1,1,1,2,1,4,2,2,1,1,1,0,5
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,2,2,0,1,2,2,1,2,1,0,2,1,1,2,2,1,2,1,2,1,1,1,2,1,4,1,2,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,1,2,2,2,0,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,1,2,1,3,1,2,1,0,0,0,3
0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2,2,1,2,2,2,0,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,1,2,1,3,1,1,0,0,0,0,1
0,0,0,0,0,2,0,0,1,0,1,2,1,1,0,2,2,1,2,2,2,0,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,1,2,1,3,0,1,0,0,-1,0,1
0,1,0,0,0,2,0,0,1,2,1,2,1,1,0,2,2,1,2,2,2,0,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,1,2,1,3,-1,0,0,0,-1,0,2
0,1,1,0,0,2,2,0,1,2,1,2,1,1,0,2,2,1,2,2,2,0,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,1,2,1,3,-1,-1,0,0,-1,-1,4
0,1,1,2,1,2,2,0,1,2,1,2,1,1,0,2,2,1,2,2,2,0,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,1,2,1,3,-1,-1,-1,-1,-1,-1,0
0,1,1,2,1,2,2,0,1,2,1,2,1,1,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,5,5,4,5,5,5,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,5,5,5,3,4,5,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,2,0,0,2,4,5,4,3,4,5,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,1,1,2,0,0,2,3,4,4,3,4,5,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2,2,1,1,2,0,0,2,3,3,3,3,4,5,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,0,0,0,2,2,1,1,2,0,1,2,3,3,2,3,4,5,4,2
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,0,0,0,2,2,1,1,2,0,1,2,3,3,0,3,4,5,4,5
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,1,0,0,2,2,1,1,2,2,1,2,3,3,0,3,3,4,4,2
0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,1,2,1,1,0,0,2,2,1,1,2,2,1,2,3,2,-1,3,3,4,4,5
0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,1,1,2,1,1,2,0,2,2,1,1,2,2,1,2,2,2,-1,3,3,3,4,4
0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,2,1,0,1,1,2,1,1,2,0,2,2,1,1,2,2,1,2,2,2,-1,3,2,2,4,5
0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,1,2,0,2,1,0,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,2,-1,3,2,1,3,0
0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,0,2,0,1,1,2,0,2,1,0,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,-1,3,2,0,3,3
0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,1,2,0,1,1,2,2,2,1,0,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,-1,2,1,0,3,1
0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,2,2,1,1,2,0,1,1,2,2,2,1,0,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,1,-1,1,1,0,3,3
0,0,2,1,0,0,0,0,0,1,2,0,1,0,2,2,2,1,1,2,0,1,1,2,2,2,1,0,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,1,-1,-1,1,0,3,5
0,0,2,1,0,2,0,1,0,1,2,0,1,0,2,2,2,1,1,2,0,1,1,2,2,2,1,0,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,0,1,-1,-1,1,-1,3,1
1,0,2,1,0,2,0,1,2,1,2,0,1,0,2,2,2,1,1,2,0,1,1,2,2,2,1,0,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,-1,0,-1,-1,1,-1,3,4
1,0,2,1,1,2,0,1,2,1,2,2,1,0,2,2,2,1,1,2,0,1,1,2,2,2,1,0,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,-1,0,-1,-1,-1,-1,3,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,4,5,5,4,5,5,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,1,3,5,5,3,5,5,5,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,1,1,3,5,5,2,5,5,4,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,2,0,0,1,2,1,1,1,3,5,5,2,4,4,4,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,1,2,0,0,2,0,0,1,2,1,1,1,3,5,5,1,3,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,1,2,2,0,2,0,0,1,2,1,1,1,3,5,5,1,2,3,4,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,2,0,0,1,2,2,1,2,0,0,1,2,1,1,1,3,5,5,1,1,3,3,1
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,2,0,0,1,2,2,1,2,1,0,1,2,1,1,1,3,4,5,0,1,3,3,1
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,2,2,1,0,1,2,2,1,2,1,0,1,2,1,1,1,3,3,5,0,1,3,2,6
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,2,1,2,2,2,1,0,1,2,2,1,2,1,0,1,2,1,1,1,3,3,5,0,1,2,1,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,1,2,0,2,1,2,2,2,1,0,1,2,2,1,2,1,0,1,2,1,1,1,2,2,5,0,1,2,1,1
0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,1,1,2,0,2,1,2,2,2,1,0,1,2,2,1,2,1,0,1,2,1,1,1,2,1,5,-1,1,2,1,0
0,0,0,2,0,0,0,0,2,0,2,0,0,0,1,1,0,1,2,0,1,1,2,0,2,1,2,2,2,1,0,1,2,2,1,2,1,0,1,2,1,1,1,1,0,5,-1,1,2,1,0
2,0,0,2,0,0,0,1,2,0,2,0,0,0,1,1,0,1,2,0,1,1,2,0,2,1,2,2,2,1,0,1,2,2,1,2,1,0,1,2,1,1,1,-1,0,5,-1,1,2,1,1
2,1,0,2,0,0,0,1,2,0,2,2,0,0,1,1,0,1,2,0,1,1,2,0,2,1,2,2,2,1,0,1,2,2,1,2,1,0,1,2,1,1,1,-1,-1,5,-1,0,2,1,5
2,1,0,2,0,0,0,1,2,0,2,2,0,0,1,1,0,1,2,1,1,1,2,0,2,1,2,2,2,1,0,1,2,2,1,2,1,2,1,2,1,1,1,-1,-1,4,-1,0,1,1,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,5,5,4,5,5,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2,4,5,5,4,5,4,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,2,4,5,5,2,5,4,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,2,0,2,4,4,5,1,5,4,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,2,1,0,2,0,2,3,4,4,1,5,4,5,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,2,1,0,2,2,2,2,4,4,1,5,4,4,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,2,1,0,2,2,2,1,4,4,0,5,4,4,4
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,1,0,1,1,2,1,2,2,2,2,1,4,4,0,4,3,4,4
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,1,2,2,1,0,1,1,2,1,2,2,2,2,1,4,3,0,3,3,4,2
